Contrato;AberturaDemanda;DocumentoSolicitacao;NumDocumento;PropostaComercial;DataPropostaComercial;PropostaRecebida;NumSolicitacao;Demanda;idTipoHora;TipoHora; QtdHoras ;PrecoHora;ValorTotal;AutorizadoExecucao;LocalAutorizacao;DataEntrega;HomologacaoSEI;Faturado;Agilis;ProcessoFaturamento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Memória de cálculo valor pago ;6;Gerenciamento de Projeto;5,2; 246,00 ; 1.279,20 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Google analytics para CKAN ;1;Concepção; -   ; 248,00 ;  -    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Google analytics para CKAN ;2;Elaboração; -   ; 184,00 ;  -    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Google analytics para CKAN ;3;Construção - Codificação;20,25; 94,00 ; 1.903,50 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Google analytics para CKAN ;4;Construção - Teste;4,05; 94,00 ; 380,70 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Google analytics para CKAN ;5;Transição;2,25; 184,00 ; 414,00 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Google analytics para CKAN ;6;Gerenciamento de Projeto; -   ; 246,00 ;  -    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Incorporação fale conosco centralizado ;1;Concepção;0; 248,00 ;  -    ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Incorporação fale conosco centralizado ;2;Elaboração;3,6; 184,00 ; 662,40 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INF 3951;22/11/2019;SEI;1520.01.0007635/2019-05;626584/19;11/12/2019;SEI;1520.01.0007635/2019-05;Incorporação fale conosco centralizado ;3;Construção - Codificação;5,4; 94,00 ; 507,60 ;12/12/2019;1520.01.0007635/2019-05;14/08/2020;5140.01.0000671/2020-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
